"id_habitacion";"numero";"piso";"estado";"precio_base";"descripcion"
1;103;1;"Disponible";45000.0;"Habitación estándar twin"
2;104;1;"Disponible";45000.0;"Habitación estándar individual"
3;202;2;"Ocupada";68000.0;"Habitación superior doble"
4;203;2;"Disponible";68000.0;"Habitación superior doble"
5;302;3;"Ocupada";95000.0;"Suite presidencial"
6;303;3;"Disponible";90000.0;"Suite junior vista mar"
7;401;4;"Mantenimiento";120000.0;"Penthouse exclusivo"
8;402;4;"Disponible";120000.0;"Penthouse exclusivo"
9;101;1;"Disponible";45000.0;"Habitación estándar"
10;102;1;"Disponible";48000.0;"Habitación estándar"
11;201;2;"Disponible";65000.0;"Habitación superior"
12;301;3;"Mantenimiento";85000.0;"Suite con vista"
