"id_reserva";"fecha_reserva";"fecha_ingreso";"fecha_salida";"estado";"id_huesped";"id_habitacion";"id_empleado"
1;"2026-01-10";"2026-02-01";"2026-02-05";"finalizada";4;5;1
2;"2026-02-15";"2026-03-01";"2026-03-10";"finalizada";5;6;2
3;"2026-03-01";"2026-03-15";"2026-03-20";"finalizada";6;7;3
4;"2026-04-01";"2026-05-20";"2026-05-25";"confirmada";7;8;3
5;"2026-04-10";"2026-06-10";"2026-06-15";"confirmada";8;9;8
6;"2026-05-05";"2026-07-01";"2026-07-10";"confirmada";9;10;7
7;"2026-05-10";"2026-08-15";"2026-08-20";"confirmada";10;11;4
8;"2026-01-01";"2026-01-05";"2026-01-10";"cancelada";11;12;7
9;"2026-05-01";"2026-05-10";"2026-05-15";"confirmada";1;2;9
10;"2026-04-20";"2026-05-01";"2026-05-05";"finalizada";2;1;6
11;"2026-04-22";"2026-05-10";"2026-05-15";"confirmada";3;3;2
12;"2026-04-25";"2026-06-01";"2026-06-03";"cancelada";2;4;1
